episode,score1,score2,avg_reward1,avg_reward2
100,1,0,-0.27,-0.34
200,0,1,0.10,-0.32
300,1,1,0.23,0.11
400,1,1,0.47,0.13
500,1,0,0.80,0.39
600,0,0,0.94,0.93
700,0,0,0.74,0.64
800,1,1,1.15,1.01
900,1,2,1.02,1.10
1000,0,1,1.15,1.06
1100,1,0,1.61,1.66
1200,2,3,1.70,1.44
1300,6,1,1.71,1.58
1400,1,1,1.81,1.32
1500,1,2,1.79,1.21
1600,0,1,1.76,1.53
1700,0,0,1.49,1.34
1800,0,1,1.63,1.42
1900,3,1,1.91,1.45
2000,1,1,2.00,1.53
2100,1,3,1.62,1.58
2200,1,1,1.74,1.46
2300,1,1,2.29,1.62
2400,5,2,2.06,1.68
2500,1,1,1.96,1.52
2600,1,1,2.27,1.50
2700,1,1,2.32,1.42
2800,2,1,2.10,1.50
2900,4,1,2.42,1.79
3000,2,1,2.21,1.52
3100,5,1,1.78,1.25
3200,2,3,2.25,1.36
3300,3,1,1.99,1.37
3400,2,2,2.15,1.29
3500,2,2,2.23,1.35
3600,0,0,1.49,1.22
3700,2,3,2.21,1.79
3800,3,3,2.94,1.63
3900,1,1,2.19,1.43
4000,3,1,2.78,1.72
4100,6,3,2.81,1.80
4200,4,2,2.46,1.75
4300,0,1,1.97,1.62
4400,3,2,2.71,1.50
4500,3,1,2.62,1.65
4600,6,1,2.87,1.65
4700,0,0,2.79,1.83
4800,3,2,2.49,1.59
4900,3,3,3.31,1.97
5000,2,5,2.60,1.85
