episode,score1,score2,avg_reward1,avg_reward2
100,1,0,-0.12,-0.48
200,2,0,-0.34,-0.10
300,0,1,-0.15,0.15
400,2,0,0.25,0.12
500,1,0,0.68,0.64
600,1,1,1.21,1.01
700,0,0,0.83,1.06
800,1,1,1.30,1.13
900,1,0,1.18,1.25
1000,0,4,1.39,1.12
1100,2,1,1.20,1.28
1200,3,2,1.37,1.35
1300,0,0,1.38,1.49
1400,1,1,1.50,1.48
1500,3,2,1.46,1.29
1600,3,4,1.34,1.60
1700,2,1,1.78,2.00
1800,3,2,1.75,1.59
1900,1,0,1.65,1.40
2000,2,0,2.05,1.94
2100,0,0,1.84,1.62
2200,3,2,1.51,1.79
2300,6,0,1.84,1.67
2400,3,3,1.50,1.51
2500,0,0,1.65,1.83
2600,1,1,1.74,1.41
2700,1,2,2.06,1.73
